Unidades en operacion de L-V,Unidades en operacion de S-D,Miles de km recorridos,Pasajeros transportados-total,month,year,ecovia,metro,metrobus,transmetro,Pasajeros transportados-tarifa completa,Pasajeros transportados-con descuento,Pasajeros transportados-con cortesia,Numero de rutas,Personal ocupado,Ingresos miles de pesos de pasajes,Miles de KWH consumido
50,50,811.7,"9,975.80",Enero,2023,0,1,0,0,-,-,-,-,-,"38,454.70","3,131.20"
50,50,783.1,"9,576.70",Febrero,2023,0,1,0,0,-,-,-,-,-,"41,439.50","3,078.70"
50,50,829.4,"10,733.90",Marzo,2023,0,1,0,0,-,-,-,-,-,"46,665.20","3,242.10"
50,50,811.5,"9,523.70",Abril,2023,0,1,0,0,-,-,-,-,-,"38,799.70","3,128.60"
50,50,924.2,"11,891.60",Mayo,2023,0,1,0,0,-,-,-,-,-,"58,511.80","3,563.20"
50,50,914.9,"10,657.70",Junio,2023,0,1,0,0,-,-,-,-,-,"55,684.10","3,638.80"
50,50,930.8,"7,584.00",Julio,2023,0,1,0,0,-,-,-,-,-,"55,782.30","3,759.30"
50,50,850.8,"8,912.30",Agosto,2023,0,1,0,0,-,-,-,-,-,"61,959.20","3,811.40"
50,50,"1,009.20","8,864.70",Septiembre,2023,0,1,0,0,-,-,-,-,-,"66,703.20","3,707.40"
50,50,896,"10,241.80",Octubre,2023,0,1,0,0,-,-,-,-,-,"73,829.90","3,614.10"
50,50,976.2,"10,290.00",Noviembre,2023,0,1,0,0,-,-,-,-,-,"73,560.80","3,409.00"
50,50,"1,005.00","9,784.40",Diciembre,2023,0,1,0,0,-,-,-,-,-,"76,691.40","3,474.10"
50,50,"1,011.60","8,984.20",Enero,2024,0,1,0,0,-,-,-,-,-,"75,340.10","3,463.20"
50,50,899.2,"9,836.40",Febrero,2024,0,1,0,0,-,-,-,-,-,"76,413.90","3,490.80"
50,50,986.2,"8,947.30",Marzo,2024,0,1,0,0,-,-,-,-,-,"73,328.50","3,625.50"
50,50,"1,009.40","10,150.10",Abril,2024,0,1,0,0,-,-,-,-,-,"75,550.40","3,657.10"
50,50,953.1,"10,152.50",Mayo,2024,0,1,0,0,-,-,-,-,-,"76,008.80","3,595.20"
50,50,"1,029.00","9,147.60",Junio,2024,0,1,0,0,-,-,-,-,-,"76,509.00","4,024.20"
50,50,"1,024.10","7,038.50",Julio,2024,0,1,0,0,-,-,-,-,-,"77,104.90","4,262.90"
50,50,"1,044.70","7,910.20",Agosto,2024,0,1,0,0,-,-,-,-,-,"78,545.60","4,347.20"
50,50,968.1,"8,317.10",Septiembre,2024,0,1,0,0,-,-,-,-,-,"79,826.90","4,104.30"
50,50,990.2,"8,403.40",Octubre,2024,0,1,0,0,-,-,-,-,-,"80,442.70","4,170.80"
-,-,-,-,Noviembre,2024,0,1,0,0,-,-,-,-,-,-,-
-,-,-,-,Diciembre,2024,0,1,0,0,-,-,-,-,-,-,-
